pp3year,level,schools_province,totalmale,totalfemale,totalstd,school_english
2566,ม.6,สมุทรสงคราม,101,140,241,Samut Songkhram
2566,ม.6,สมุทรสาคร,368,473,841,Samut Sakhon
2566,ม.6,สระบุรี,674,1089,1763,Saraburi
2566,ม.6,สระแก้ว,412,741,1153,Sa Kaeo
2566,ม.6,สิงห์บุรี,55,78,133,Sing Buri
2566,ม.6,สุพรรณบุรี,1106,1848,2954,Suphan Buri
2566,ม.6,สุราษฎร์ธานี,1487,2474,3961,Surat Thani
2566,ม.6,สุรินทร์,805,2067,2872,Surin
2566,ม.6,สุโขทัย,799,1008,1807,Sukhothai
2566,ม.6,หนองคาย,488,807,1295,Nong Khai
2566,ม.6,หนองบัวลำภู,74,95,169,Nong Bua Lam Phu
2566,ม.6,อำนาจเจริญ,347,586,933,Amnat Charoen
2566,ม.6,อุดรธานี,947,2019,2966,Udon Thani
2566,ม.6,อุตรดิตถ์,318,481,799,Uttaradit
2566,ม.6,อุทัยธานี,265,388,653,Uthai Thani
2566,ม.6,อุบลราชธานี,796,1570,2366,Ubon Ratchathani
2566,ม.6,อ่างทอง,430,730,1160,Ang Thong
2566,ม.6,เชียงราย,1045,1687,2732,Chiang Rai
2566,ม.6,เชียงใหม่,852,1411,2263,Chiang Mai
2566,ม.6,เพชรบุรี,350,505,855,Phetchaburi
2566,ม.6,เพชรบูรณ์,394,709,1103,Phetchabun
2566,ม.6,เลย,529,985,1514,Loei
2566,ม.6,แพร่,369,878,1247,Phrae
2566,ม.6,แม่ฮ่องสอน,336,560,896,Mae Hong Son
